,ID,tags,text
0,NCT02361944,"16:20:treatment,25:44:treatment",Current use of hemo- or peritoneal dialysis
1,NCT02593526,"24:43:treatment,","Intention to change to peritoneal dialysis, or home HD in the next 6 months"
2,NCT02703272,"27:52:treatment,58:66:treatment",Participants with ongoing anticoagulation treatment with warfarin or equivalent vitamin K antagonists (example phenprocoumon)
3,NCT03006302,8:16:treatment,Use of warfarin
4,NCT02931110,1:9:treatment,warfarin
5,NCT02921022,",,,122:130:treatment",Prothrombin time (PT)/international normalized ratio (INR) within normal limits (±15%) or within therapeutic range if on warfarin
6,NCT02905591,1:9:treatment,warfarin
7,NCT02669173,",,84:92:treatment",Prothrombin time/international normalized ratio (PT/INR) < 1.4 for patients not on warfarin
8,NCT02654236,25:33:treatment,Subjects who are taking warfarin
9,NCT02048722,"10:18:treatment,,","Low dose warfarin (1 mg orally, once daily) with prothrombin time (PT)-international normalized ratio (INR) =< 1.5 x ULN is permitted"
10,NCT01954316,39:47:treatment,Patients being treated with full dose warfarin
11,NCT01562626,17:25:treatment,Currently using warfarin
12,NCT01877382,"32:59:treatment,95:103:chronic_disease","Has unresolved toxicities from previous anticancer therapy, defined as toxicities (other than alopecia) not yet resolved to NCI-CTCAE v4"
13,NCT02259621,"45:73:chronic_disease,77:118:chronic_disease",Known positive history or positive test for Human Immunodeficiency Virus or Acquired ImmunoDeficiency Syndrome (AIDS)
14,NCT02128802,1:29:chronic_disease,Human Immunodeficiency Virus
15,NCT01422746,"12:36:chronic_disease,,129:147:chronic_disease","Persistent liver test abnormalities, with the exception that mild bilirubin elevations will be accepted in the setting of known Gilbert's syndrome"
16,NCT02979366,",,67:85:chronic_disease,","Total bilirubin level ? 1.5 x ULN, except for patients with known Gilbert's syndrome (confirmed by the UGT1A1 polymorphism analysis), who are excluded if total bilirubin>3.0 x ULN or direct bilirubin > 1.5 x ULN"
17,NCT02807272,15:33:chronic_disease,subjects with Gilbert's syndrome diagnosed as per institutional guidelines
18,NCT02553941,",,57:75:chronic_disease",Bilirubin =< 1.5 x ULN (unless bilirubin rise is due to Gilbert's syndrome or of non-hepatic origin)
19,NCT02553642,"15:33:chronic_disease,,",subjects with Gilbert's syndrome who must have total bilirubin ? 3.0mg/dL
20,NCT02530034,",,77:95:chronic_disease",Total bilirubin =< 1.5 x the upper limit of normal unless considered due to Gilbert's syndrome
21,NCT02520778,",45:63:chronic_disease,",Total bilirubin =< 1.5 x ULN (patients with Gilbert's syndrome may have serum bilirubin > 1.5 x ULN)
22,NCT02496663,",,69:87:chronic_disease,,",Total bilirubin =< 1.5 x upper limit of normal (ULN) (patients with Gilbert's syndrome may have serum bilirubin > 1.5 ULN)
23,NCT02465060,",,,87:105:chronic_disease,","Total bilirubin =< 1.5 x institutional upper limit of normal (ULN) (unless documented Gilbert's syndrome, for which bilirubin =< 3 x institutional ULN is permitted)"
24,NCT02401347,",,,50:68:chronic_disease",Total serum bilirubin ? 1.5 x ULN (? 3 x ULN for Gilbert's syndrome)
